7,平成25,年,5.2,5.6,10.7,14.3,19.8,24.3,28.5,30,25.1,20.8,12.9,7.8
8,26,年,5.9,5.8,9.9,14.8,19.8,23.9,27.8,27.8,24,19.5,14.2,6.8
9,27,年,6.1,6.9,10.2,15.9,21.5,22.9,27,28.6,23.2,19,15.2,10.1
10,28,年,6.8,7.4,10.8,16.6,21.2,23.3,28,29.5,25.8,20.3,13.4,9.4
11,29,年,6.2,6.3,9.2,15.7,21.1,22.7,28.8,29.2,24.4,18.4,12.6,7
13,１,日,7.9,4.4,7.3,8.5,19.6,23.1,27.5,30.1,26.3,21.4,14,10.7
14,２,日,8.2,5.8,9.6,10,17.8,20.5,28.7,29.5,25.8,21.2,15.6,8.6
15,３,日,10,7.8,8.3,11.7,19,19.4,28.6,29.1,25.3,22,17,9.7
16,４,日,8.5,7.4,9,14.5,20,20.3,27.1,30.2,24.4,19.1,16.1,8.3
17,５,日,7.5,7,10.9,15.4,21,20.5,24.6,30.4,24.8,19.2,13,7.2
18,６,日,6.9,7.5,10.2,17.1,19.9,21.4,26.5,31.3,25.5,18,14.4,6.3
19,７,日,6.5,4.5,6.9,17.2,20.6,19.2,27.3,26.8,26.7,20.5,16.9,7.2
20,８,日,6.4,5.4,5.8,18.1,22.3,21.2,28.7,28,25.9,23.3,17,6.6
21,９,日,9,3.9,7,15.5,19.3,22.7,26.5,29.8,26.3,24.2,15.3,6.7
22,10,日,9.6,4.2,8.3,12.8,19,23.7,27.6,30.7,27.6,24.6,13.5,9
24,11,日,7.6,3.2,7.5,12.9,20.5,21.1,29.3,30.3,27.2,24.5,14.7,8.3
25,12,日,6.9,3.4,8.4,13.1,22.7,19.9,29.2,29,24.8,21.5,12.3,3.9
26,13,日,6.7,4.4,10.1,13.1,17.8,20.1,29.8,27.9,25.8,18,12.6,4.8
27,14,日,3.6,4.6,9.2,16.7,21,21.7,29.2,27.9,24.8,19.3,12.6,5.6
28,15,日,2,6.5,7.3,18.8,20.8,23.7,29.6,26.3,22.5,17.1,13.2,7.1
29,16,日,4,7.7,8.2,19.8,18.9,23.6,29.6,28,20.4,15.5,11.2,8.2
30,17,日,5.5,9.6,8.6,18.6,19.1,22.7,29.5,28.8,24.1,15,10.3,4.8
31,18,日,5.7,7.9,9.3,18.6,20.5,24.3,28.1,29.1,24.7,16.2,10.1,5.4
32,19,日,6.5,6.5,11,17.2,21.9,25.6,29.5,29.4,24.4,15,9,7.2
33,20,日,4.7,9.3,12.8,15.5,23.5,25,30.3,29.8,24.7,16.9,7.5,5.6
35,21,日,5.1,4.7,9.5,16.5,23.7,21.2,30.1,30.2,23.3,17.1,8.2,5.9
36,22,日,4.2,6.4,9.6,15.3,23.8,23.3,30,30.5,20.8,17.2,9.6,6.4
37,23,日,2.4,10,10.1,14.6,23.3,25.5,29.1,30.2,22.9,16.4,10.9,7.3
38,24,日,2.9,5.7,9,17,21.9,25.1,29.6,31.2,23.6,14.6,9.3,8.9
39,25,日,3.5,6.5,8.8,18.3,21,22.9,29.3,31.2,24.5,15.9,9.5,9.3
40,26,日,4.3,8.1,9.3,15.8,22.3,24.7,29.1,27.9,24.6,16.7,9.8,7
41,27,日,7.4,6.4,9.9,15.5,19.6,24.7,29.3,28.4,24.6,18.2,12.2,5.4
42,28,日,8,6.3,9.4,16.1,21.1,24.5,28.9,28.9,22.1,17,13.2,5.5
43,29,日,7.3,,11.3,17.5,23.4,25,30.6,30.2,21.3,17.3,13.7,6.9
44,30,日,9.1,,14.2,19.1,25.1,25.1,29.6,28,21.8,14.2,13.9,7
45,31,日,4.4,,8.4,,24,,30.6,27,,13.2,,6.7
