ダウンロードした時刻：2019/10/27 10:57:18

,福井,福井,福井,福井,福井,福井
年月日,平均気温(℃),平均湿度(％),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間)
,,,,現象なし情報,,現象なし情報
2019/9/26,22.5,74,0,1,10.9,0
2019/9/27,24.1,76,15.0,0,6.3,0
2019/9/28,23.6,79,0.0,0,0.1,0
2019/9/29,24.6,77,0,1,0.8,0
2019/9/30,24.1,82,0,1,6.4,0
2019/10/1,24.2,80,0,1,9.2,0
2019/10/2,25.1,74,0.0,0,0.3,0
2019/10/3,26.3,58,36.0,0,3.9,0
2019/10/4,20.8,87,30.0,0,0.0,0
2019/10/5,21.4,79,1.0,0,6.4,0
2019/10/6,19.8,76,2.5,0,9.1,0
2019/10/7,19.8,76,2.0,0,6.2,0
2019/10/8,19.4,92,16.5,0,0.0,0
2019/10/9,17.1,66,0,1,10.9,0
2019/10/10,19.2,72,0,1,10.2,0
2019/10/11,22.0,80,0.0,0,1.3,0
2019/10/12,20.7,91,42.0,0,0.0,0
2019/10/13,17.7,79,7.0,0,5.5,0
2019/10/14,16.6,92,10.5,0,0.2,0
2019/10/15,15.8,75,0.0,0,7.1,0
2019/10/16,14.1,80,0,1,7.3,0
2019/10/17,16.1,79,0.0,0,7.2,0
2019/10/18,17.2,92,11.0,0,0.1,0
2019/10/19,18.6,94,35.5,0,0.3,0
2019/10/20,18.3,83,0,1,2.7,0
2019/10/21,16.8,89,0.5,0,0.0,0
2019/10/22,18.7,82,2.0,0,6.6,0
2019/10/23,17.8,83,0,1,6.5,0
2019/10/24,18.4,89,6.5,0,0.7,0
2019/10/25,16.9,95,29.5,0,0.0,0
2019/10/26,17.2,91,0.0,0,1.6,0
