ダウンロードした時刻：2019/10/27 10:58:01

,大阪,大阪,大阪,大阪,大阪,大阪
年月日,平均気温(℃),平均湿度(％),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間)
,,,,現象なし情報,,現象なし情報
2019/9/26,25.1,66,0,1,10.0,0
2019/9/27,26.0,71,0,1,1.6,0
2019/9/28,26.2,64,0.0,0,2.8,0
2019/9/29,27.1,67,0,1,7.2,0
2019/9/30,27.7,65,0,1,4.3,0
2019/10/1,27.4,68,0.0,0,9.6,0
2019/10/2,26.1,68,0.0,0,1.0,0
2019/10/3,24.5,71,8.5,0,1.4,0
2019/10/4,25.1,65,6.0,0,9.0,0
2019/10/5,23.4,62,0,1,7.2,0
2019/10/6,22.3,61,0.0,0,4.2,0
2019/10/7,22.4,65,0.0,0,9.7,0
2019/10/8,22.3,73,0.5,0,0.5,0
2019/10/9,19.9,49,0,1,11.2,0
2019/10/10,22.6,61,0.5,0,9.1,0
2019/10/11,24.6,70,0.5,0,0.1,0
2019/10/12,21.5,88,79.5,0,0.0,0
2019/10/13,19.4,68,0.0,0,4.0,0
2019/10/14,19.0,76,0.0,0,0.0,0
2019/10/15,18.4,64,0.0,0,5.2,0
2019/10/16,16.9,60,0,1,10.6,0
2019/10/17,18.5,69,0.0,0,2.4,0
2019/10/18,20.3,81,18.5,0,1.3,0
2019/10/19,21.5,84,2.5,0,1.0,0
2019/10/20,20.7,67,0,1,4.7,0
2019/10/21,18.6,80,12.0,0,0.0,0
2019/10/22,20.1,75,5.0,0,4.0,0
2019/10/23,20.7,68,0,1,7.3,0
2019/10/24,18.8,86,38.0,0,0.0,0
2019/10/25,17.7,88,29.0,0,0.3,0
2019/10/26,19.3,80,0.0,0,2.9,0
