ダウンロードした時刻：2019/10/26 23:49:19

,大阪,大阪,大阪
年月日,平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa)
,,品質情報,均質番号
2019/9/25,17.7,8,1
2019/9/26,20.5,8,1
2019/9/27,23.7,8,1
2019/9/28,21.6,8,1
2019/9/29,23.9,8,1
2019/9/30,23.9,8,1
2019/10/1,24.6,8,1
2019/10/2,22.7,8,1
2019/10/3,21.4,8,1
2019/10/4,20.5,8,1
2019/10/5,17.6,8,1
2019/10/6,16.2,8,1
2019/10/7,17.4,8,1
2019/10/8,19.8,8,1
2019/10/9,11.2,8,1
2019/10/10,16.8,8,1
2019/10/11,21.6,8,1
2019/10/12,22.5,8,1
2019/10/13,15.4,8,1
2019/10/14,16.7,8,1
2019/10/15,13.3,8,1
2019/10/16,11.5,8,1
2019/10/17,14.7,8,1
2019/10/18,19.1,8,1
2019/10/19,21.5,8,1
2019/10/20,16.1,8,1
2019/10/21,17.1,8,1
2019/10/22,17.3,8,1
2019/10/23,16.2,8,1
2019/10/24,18.7,8,1
2019/10/25,17.9,8,1
