ダウンロードした時刻：2019/10/26 23:43:48

,大阪,大阪,大阪
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2019/9/25,23.5,8,1
2019/9/26,25.1,8,1
2019/9/27,26.0,8,1
2019/9/28,26.2,8,1
2019/9/29,27.1,8,1
2019/9/30,27.7,8,1
2019/10/1,27.4,8,1
2019/10/2,26.1,8,1
2019/10/3,24.5,8,1
2019/10/4,25.1,8,1
2019/10/5,23.4,8,1
2019/10/6,22.3,8,1
2019/10/7,22.4,8,1
2019/10/8,22.3,8,1
2019/10/9,19.9,8,1
2019/10/10,22.6,8,1
2019/10/11,24.6,8,1
2019/10/12,21.5,8,1
2019/10/13,19.4,8,1
2019/10/14,19.0,8,1
2019/10/15,18.4,8,1
2019/10/16,16.9,8,1
2019/10/17,18.5,8,1
2019/10/18,20.3,8,1
2019/10/19,21.5,8,1
2019/10/20,20.7,8,1
2019/10/21,18.6,8,1
2019/10/22,20.1,8,1
2019/10/23,20.7,8,1
2019/10/24,18.8,8,1
2019/10/25,17.7,8,1
